longitude,latitude,TP
112.1739722,26.41316667,0.84
112.2189444,26.46872222,0.45
112.1645556,26.44297222,0.75
112.1707500,26.43930556,0.37
112.1519444,26.44183333,0.7
112.1598333,26.43997222,0.61
112.1602222,26.40569444,0.92
112.1939722,26.38858333,0.87
112.1553056,26.36738889,0.69
112.1881667,26.34886111,0.49
112.1893611,26.34583333,0.35
112.1894722,26.34202778,0.22
112.2075556,26.35088889,0.79
112.2155278,26.35,0.48
112.2247778,26.35730556,0.62
112.2582778,26.34138889,0.44
112.2866944,26.35030556,0.51
112.3053611,26.35444444,0.51
112.3113889,26.36558333,0.59
112.2922778,26.36672222,0.47
112.3069167,26.36538889,0.61
112.3172222,26.3755,0.48
112.3233611,26.383,0.43
112.3315278,26.37430556,0.29
112.3283056,26.42808333,0.29
112.3045278,26.33313889,0.51
112.2874722,26.32558333,0.6
112.2770278,26.33227778,0.77
112.2702222,26.32119444,0.45
112.2581389,26.30502778,0.63
112.2575278,26.29908333,0.82
112.2973333,26.28358333,0.46
112.3074167,26.28263889,0.63
112.3354722,26.27902778,0.57
112.3473611,26.29088889,0.58
112.3421667,26.31163889,0.33
112.3640000,26.21897222,0.46
112.3396111,26.33872222,0.57
112.3570000,26.3315,0.7
112.3874167,26.36775,0.68
112.4000000,26.3285,0.8
112.4076389,26.32688889,0.67
112.4099444,26.31980556,1.1
112.4250556,26.31669444,0.93
112.4308333,26.33588889,0.63
112.4193611,26.34097222,0.4
112.4170000,26.34863889,0.66
112.4557222,26.32277778,0.82
112.4672222,26.32683333,1.08
112.4735000,26.31658333,1.5
112.4690000,26.35525,0.71
112.4556944,26.36783333,0.49
112.4571111,26.37244444,0.79
112.4422500,26.31055556,0.86
112.4430833,26.29483333,0.66
112.4580278,26.25986111,0.92
112.4573611,26.24211111,0.99
112.4660833,26.21980556,0.26
112.4784444,26.25466667,1.28
112.4747500,26.27441667,0.99
112.4827500,26.28491667,0.98
112.4745833,26.20563889,1.31
112.4854167,26.19769444,0.68
112.4862500,26.19183333,0.68
112.4779167,26.20119444,0.74
112.4518056,26.20730556,0.88
112.4948333,26.33294444,1.46
112.5140000,26.37494444,1
112.5301944,26.399,0.4
112.5628333,26.36247222,1
112.5660556,26.34697222,1.21
112.5647222,26.33408333,1.18
112.5625833,26.32127778,0.71
112.5703611,26.29469444,0.85
112.5842222,26.30283333,1.17
112.5955000,26.28283333,1.21
112.5968889,26.29597222,1.04
112.5928611,26.2915,1.24
112.6093333,26.29280556,1.29
112.5665000,26.37958333,1.05
112.5927778,26.37855556,1
112.6111389,26.32383333,0.96
112.6134167,26.31108333,0.48
112.6157500,26.29544444,0.84
112.6191389,26.39102778,0.48
112.5731389,26.39241667,0.78
112.5862500,26.41183333,0.96
112.6096667,26.43916667,0.34
112.6640556,26.53519444,0.49
112.6585000,26.52466667,0.82
112.6328333,26.42711111,0.76
112.6399167,26.43866667,0.91
112.6412778,26.48552778,0.35
112.6327778,26.48697222,0.51
112.5785000,26.47813889,0.65
112.5580278,26.48547222,0.68
112.5403056,26.50302778,0.99
112.5321944,26.50955556,0.51
112.5147778,26.49202778,0.55
112.5238611,26.46416667,0.56
112.5189167,26.45608333,0.76
112.4530000,26.74236111,0.73
